id, username, likes, numOfPosts
124955570892789, berniesanders, 3664041, 3
889307941125736, hillaryclinton, 3054072, 88
77590795932, JohnKasich, 277469, 13
153080620724, DonaldTrump, 6776074, 114
69983322463, tedcruzpage, 2098219, 11
