id, created_time, status_type,link, likes, shares, comments
124955570892789_1015484028506601, 2016-03-28T16:56:01+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1015484028506601/?type=3,147756, 29535, 2576
124955570892789_1015471968507807, 2016-03-28T14:32:35+0000, shared_story, http://www.nytimes.com/2016/03/28/opinion/linmanuelmirandagivepuertoricoitschancetothrive.html?smid=twnytopinionsmtyp=cur,15931, 2495, 683
124955570892789_1014952678559736, 2016-03-28T01:53:42+0000, added_video, https://www.facebook.com/berniesanders/videos/1014952678559736/,27402, 3504, 825
124955570892789_1013980588656945, 2016-03-27T22:48:00+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1013980588656945/?type=3,143187, 18273, 4532
124955570892789_1014600078594996, 2016-03-27T19:15:36+0000, shared_story, https://go.berniesanders.com/page/s/nydebate/?source=fb160327,41146, 6726, 1944
124955570892789_1014514008603603, 2016-03-27T17:05:12+0000, shared_story, https://berniesanders.com/pressrelease/sanderschallengesclintondebatenewyork/,69514, 9233, 2058
124955570892789_1013976218657382, 2016-03-27T13:43:05+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1013976218657382/?type=3,121365, 9387, 1812
124955570892789_1013766358678368, 2016-03-27T01:32:03+0000, shared_story, https://secure.actblue.com/contribute/page/alaskaandwashington?refcode=fb160326,12017, 1020, 902
124955570892789_1013643332024004, 2016-03-26T22:55:15+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1013643332024004/?type=3,120549, 17289, 2579
124955570892789_1013518035369867, 2016-03-26T20:30:48+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1013518035369867/?type=3,295113, 80156, 5640
124955570892789_1013207878734216, 2016-03-26T17:47:00+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1013207878734216/?type=3,2933, 982, 314
124955570892789_1013225992065738, 2016-03-26T15:21:00+0000, shared_story, https://berniesanders.com/sandersswingsfenceswashingtoncaucuses/?utmsource=facebookutmmedium=postutmcampaign=fb160226,28703, 1750, 782
124955570892789_1013178368737167, 2016-03-26T13:12:28+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1013178198737184/?type=3,23977, 4238, 777
124955570892789_1012548428800161, 2016-03-26T01:42:00+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1012548262133511/?type=3,39264, 4277, 787
124955570892789_1012614112126926, 2016-03-26T00:16:55+0000, added_video, https://www.facebook.com/berniesanders/videos/1012614112126926/,89885, 42155, 6551
124955570892789_1012495928805411, 2016-03-25T21:19:49+0000, shared_story, https://berniesanders.com/issues/nativehawaiians/,29369, 2837, 705
124955570892789_1012201095501561, 2016-03-25T15:55:00+0000, added_photos, https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1012201095501561/?type=3,12457, 4991, 649
