id, created_time, status_type,link, likes, shares, comments
889307941125736_1111210145602180, 2016-03-29T21:20:00+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1111210145602180/?type=3,18192, 2233, 1577
889307941125736_1111176682272193, 2016-03-29T20:20:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1111176682272193/,6226, 1651, 1344
889307941125736_1111147092275152, 2016-03-29T19:19:36+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1111147092275152/?type=3,4650, 1097, 955
889307941125736_1110865168970011, 2016-03-29T15:59:20+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1110865168970011/,23453, 3752, 2203
889307941125736_1110899668966561, 2016-03-29T15:00:34+0000, shared_story, http://hrc.io/1pY7MvP,21969, 1361, 1533
889307941125736_1110207632369098, 2016-03-28T23:45:32+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1110207632369098/,24342, 2972, 1999
889307941125736_1110088022381059, 2016-03-28T21:42:36+0000, shared_story, http://hrc.io/1VQttKo,18432, 954, 1568
889307941125736_1110047572385104, 2016-03-28T21:02:10+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1110047572385104/,31580, 4343, 23047
889307941125736_1109845795738615, 2016-03-28T16:59:09+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1109845795738615/?type=3,7819, 742, 3431
889307941125736_1109779279078600, 2016-03-28T15:45:15+0000, shared_story, http://hrc.io/1ogQecB,2859, 242, 861
889307941125736_1109706039085924, 2016-03-28T14:06:17+0000, shared_story, http://m.nydailynews.com/opinion/hillaryclintondeadaimgunviolencearticle1.2578190,14022, 872, 1385
889307941125736_1109706039085924, 2016-03-28T14:06:17+0000, shared_story, http://m.nydailynews.com/opinion/hillaryclintondeadaimgunviolencearticle1.2578190,14022, 872, 1385
889307941125736_1109115885811606, 2016-03-28T00:45:00+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1109115885811606/,15026, 2307, 1814
889307941125736_1109041342485727, 2016-03-27T23:07:29+0000, shared_story, http://hrc.io/1RywNqr,26774, 1761, 1751
889307941125736_1108930492496812, 2016-03-27T21:23:32+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1108930492496812/?type=3,41905, 1928, 1715
889307941125736_1108827419173786, 2016-03-27T19:22:37+0000, shared_story, http://hrc.io/1UVdAkQ,13311, 1025, 1338
889307941125736_1108660475857147, 2016-03-27T17:00:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1108660475857147/,30028, 6592, 2123
889307941125736_1108599795863215, 2016-03-27T15:18:06+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1108599795863215/?type=3,92864, 3692, 2919
889307941125736_1108548665868328, 2016-03-27T14:21:02+0000, mobile_status_update, null,41462, 971, 2220
889307941125736_1107935609262967, 2016-03-27T01:35:01+0000, shared_story, http://hrc.io/22DM0Pn,18944, 1092, 2446
889307941125736_1107934652596396, 2016-03-27T00:42:15+0000, shared_story, http://hrc.io/22DLOiS,9408, 835, 1098
889307941125736_1107873985935796, 2016-03-26T23:08:16+0000, shared_story, http://hrc.io/25qb23f,6055, 326, 720
889307941125736_1107741099282418, 2016-03-26T21:00:00+0000, shared_story, http://hrc.io/1LQ3vEq,6605, 490, 1141
889307941125736_1107711969285331, 2016-03-26T19:26:34+0000, shared_story, http://www.rollingstone.com/politics/news/hillaryclintonforpresident20160323,50417, 3794, 2441
889307941125736_1107558249300703, 2016-03-26T17:14:31+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1107558249300703/?type=3,8638, 982, 1400
889307941125736_1107537322636129, 2016-03-26T16:03:45+0000, shared_story, http://hrc.io/findyourfriends,3785, 361, 1957
889307941125736_1106773636045831, 2016-03-25T22:30:00+0000, shared_story, http://hrc.io/1MHwvZR,25218, 2303, 2548
889307941125736_1106728139383714, 2016-03-25T21:28:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1106728139383714/,17652, 1806, 1613
889307941125736_1106666762723185, 2016-03-25T20:11:54+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1106666762723185/?type=3,13985, 522, 969
889307941125736_1106567249399803, 2016-03-25T18:25:01+0000, shared_story, http://hrc.io/1pBSvQF,16859, 1112, 1530
889307941125736_1106475592742302, 2016-03-25T17:20:19+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1106475592742302/,34907, 12969, 2516
889307941125736_1106394729417055, 2016-03-25T14:56:35+0000, shared_story, https://www.facebook.com/hillaryforwa/videos/1066066016787371/,23946, 1, 1564
889307941125736_1106342189422309, 2016-03-25T13:48:29+0000, shared_story, http://hrc.io/1RpRimP,26231, 2235, 2049
889307941125736_1105779266145268, 2016-03-24T23:11:30+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1105779266145268/,21082, 3123, 2063
889307941125736_1105617416161453, 2016-03-24T21:00:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1105617416161453/,15968, 4744, 1478
889307941125736_1105511809505347, 2016-03-24T19:00:01+0000, shared_story, http://www.thedailybeast.com/articles/2016/03/24/howhillaryclintonmovedtransrightsforward.html,11978, 1009, 1122
889307941125736_1105503579506170, 2016-03-24T17:57:34+0000, shared_story, https://www.facebook.com/NowThisElection/videos/1134102663287889/,13904, 3, 1492
889307941125736_1105454889511039, 2016-03-24T17:03:29+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1105454889511039/,11183, 4854, 978
889307941125736_1105405409515987, 2016-03-24T15:49:10+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1105405409515987/,7795, 664, 1826
889307941125736_1105333142856547, 2016-03-24T14:40:23+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1105333142856547/?type=3,8743, 1779, 1174
889307941125736_1105286842861177, 2016-03-24T13:46:27+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1105286842861177/,10745, 1460, 1150
889307941125736_1104846819571846, 2016-03-24T02:04:00+0000, mobile_status_update, null,29822, 3184, 2412
889307941125736_1104698676253327, 2016-03-24T01:03:00+0000, shared_story, http://hrc.io/1T6JUBt,7306, 712, 862
889307941125736_1104640322925829, 2016-03-24T00:01:01+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1104640322925829/,20983, 2505, 1183
889307941125736_1104697779586750, 2016-03-23T22:40:31+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1104697779586750/?type=3,13924, 1487, 1411
889307941125736_1104631179593410, 2016-03-23T21:21:33+0000, shared_story, http://hrc.io/1T6CBtn,39465, 3036, 1825
889307941125736_1104575479598980, 2016-03-23T20:17:39+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1104575479598980/,15428, 1997, 920
889307941125736_1104481672941694, 2016-03-23T17:52:21+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1104481672941694/,12746, 2813, 1444
889307941125736_1104425069614021, 2016-03-23T16:45:00+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1104425069614021/?type=3,12452, 2043, 1264
889307941125736_1104369556286239, 2016-03-23T15:42:12+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1104369556286239/,14666, 1615, 1373
889307941125736_1104348529621675, 2016-03-23T14:50:07+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1104348529621675/?type=3,27768, 3238, 1656
889307941125736_1103903499666178, 2016-03-23T03:24:05+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1103903499666178/?type=3,72455, 4671, 5965
889307941125736_1103758729680655, 2016-03-22T23:21:42+0000, shared_story, http://hrc.io/1Sgsyj9,1951, 165, 1096
889307941125736_1103509306372264, 2016-03-22T20:00:01+0000, shared_story, http://hrc.io/1VAOzMF,6622, 768, 1330
889307941125736_1103507566372438, 2016-03-22T19:00:00+0000, shared_story, http://hrc.io/1VANVi5,21597, 1794, 1837
889307941125736_1103480103041851, 2016-03-22T17:50:55+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1103480103041851/?type=3,6628, 1101, 892
889307941125736_1103444113045450, 2016-03-22T17:09:43+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1103444113045450/,3153, 424, 662
889307941125736_1103396833050178, 2016-03-22T16:08:07+0000, mobile_status_update, null,41185, 2627, 1573
889307941125736_1103316053058256, 2016-03-22T14:20:14+0000, mobile_status_update, null,55150, 5016, 2880
889307941125736_1102805149776013, 2016-03-22T02:28:43+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1102805149776013/,13964, 1643, 2239
889307941125736_1102549586468236, 2016-03-21T23:00:00+0000, shared_story, http://hrc.io/1XIbnsi,7983, 801, 1395
889307941125736_1102540176469177, 2016-03-21T21:45:00+0000, shared_story, http://hrc.io/1XIb9kQ,8364, 633, 1130
889307941125736_1102538769802651, 2016-03-21T20:42:49+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1102538769802651/?type=3,33363, 8239, 1813
889307941125736_1102508149805713, 2016-03-21T20:01:51+0000, shared_story, http://hrc.io/1Uz8HPN,3276, 240, 446
889307941125736_1102376616485533, 2016-03-21T16:40:39+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1102376616485533/?type=3,13266, 1834, 1841
889307941125736_1102289316494263, 2016-03-21T14:26:31+0000, shared_story, http://hrc.io/22rZ6Pw,10362, 1307, 1205
889307941125736_1101819103207951, 2016-03-21T01:05:00+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1101819103207951/,40273, 6143, 2497
889307941125736_1101811246542070, 2016-03-20T23:23:42+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1101811246542070/,17025, 4013, 1657
889307941125736_1101727136550481, 2016-03-20T20:55:01+0000, shared_story, http://hrc.io/1pViEKD,9573, 1205, 1030
889307941125736_1101526539903874, 2016-03-20T16:08:42+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1101526539903874/,31946, 4045, 2573
889307941125736_1101415289914999, 2016-03-20T13:02:38+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1101415289914999/?type=3,53168, 3913, 1756
889307941125736_1101063993283462, 2016-03-20T03:33:46+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1101063993283462/,8608, 2106, 1329
889307941125736_1100923153297546, 2016-03-19T21:26:18+0000, shared_story, http://hrc.io/1RtFQFS,20845, 2353, 2683
889307941125736_1100849353304926, 2016-03-19T19:32:25+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1100849353304926/?type=3,18450, 1130, 1631
889307941125736_1100591793330682, 2016-03-19T15:03:20+0000, shared_story, http://hrc.io/1R7gPmW,47205, 4203, 3438
889307941125736_1100529856670209, 2016-03-19T13:20:33+0000, shared_story, http://hrc.io/1RsR8dA,19307, 1172, 1663
889307941125736_1100057780050750, 2016-03-18T23:25:00+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1100057780050750/,18847, 3768, 2187
889307941125736_1100034750053053, 2016-03-18T22:06:08+0000, shared_story, http://hrc.io/1pzmA3Q,12322, 698, 1091
889307941125736_1099933833396478, 2016-03-18T20:04:42+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1099933833396478/?type=3,10431, 1074, 1530
889307941125736_1099932063396655, 2016-03-18T19:35:42+0000, shared_story, https://vine.co/v/idhtQ05xVH0,8026, 623, 820
889307941125736_1099799133409948, 2016-03-18T15:51:13+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1099799133409948/?type=3,37345, 7717, 2766
889307941125736_1099747510081777, 2016-03-18T14:21:32+0000, shared_story, http://hrc.io/1PgdvBy,7409, 448, 925
889307941125736_1099308316792363, 2016-03-18T02:00:01+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1099308316792363/?type=3,7206, 951, 1752
889307941125736_1099159180140610, 2016-03-18T01:00:00+0000, shared_story, http://hrc.io/1SWTqH9,13252, 1064, 1126
889307941125736_1099155383474323, 2016-03-17T23:18:18+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1099155383474323/,26964, 10179, 3095
889307941125736_1099115796811615, 2016-03-17T22:17:39+0000, shared_story, http://hrc.io/1Mqbnaq,8048, 549, 967
889307941125736_1099083773481484, 2016-03-17T21:28:24+0000, shared_story, http://hrc.io/21y3Zkg,6287, 270, 613
889307941125736_1099023286820866, 2016-03-17T19:53:01+0000, shared_story, https://www.facebook.com/naralprochoiceamerica/videos/10154008763709321/,9245, null, 821
889307941125736_1098981806825014, 2016-03-17T18:57:51+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1098981806825014/,11792, 2494, 918
889307941125736_1098895996833595, 2016-03-17T16:29:49+0000, shared_story, http://hrc.io/1pqvrV2,4202, 411, 807
889307941125736_1098808696842325, 2016-03-17T14:44:08+0000, shared_story, http://hrc.io/1SVFQUv,13238, 916, 1174
889307941125736_1098431020213426, 2016-03-17T01:41:32+0000, shared_story, http://hrc.io/1XwlJva,27410, 2191, 2976
889307941125736_1098380873551774, 2016-03-17T00:31:09+0000, added_video, https://www.facebook.com/hillaryclinton/videos/1098380873551774/,36731, 7211, 2279
889307941125736_1098333416889853, 2016-03-16T23:02:23+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1098333416889853/?type=3,23255, 1835, 1846
889307941125736_1098294560227072, 2016-03-16T22:10:00+0000, shared_story, https://media.giphy.com/media/xThuW314YSQBlh5skM/giphy.gif,18906, 1049, 1239
889307941125736_1098268386896356, 2016-03-16T21:14:19+0000, shared_story, https://www.facebook.com/msnbc/videos/1136614509768133/,2390, null, 541
889307941125736_1098241206899074, 2016-03-16T20:34:38+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1098241206899074/?type=3,5015, 255, 596
889307941125736_1098134396909755, 2016-03-16T17:37:55+0000, shared_story, http://hrc.io/1QYdxCv,18619, 1182, 1698
889307941125736_1098062393583622, 2016-03-16T15:28:34+0000, shared_story, http://hrc.io/1QXSyQ1,5875, 460, 1293
889307941125736_1097770946946100, 2016-03-16T05:02:52+0000, added_photos, https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1097770946946100/?type=3,58166, 8725, 5515
