id, created_time, status_type,link, likes, shares, comments
77590795932_10153335081690933, 2016-03-24T20:16:12+0000, shared_story, https://www.johnkasich.com/blogposts/onlyjohnkasichisaheadofhillaryclintoninnationalmonmouthpoll/,5614, 857, 744
77590795932_10153334780525933, 2016-03-24T18:03:51+0000, shared_story, http://injo.com/2016/03/5674784reasonsnevertrumpstoptellingjohnkasichdropout/,3209, 552, 685
77590795932_10153334251585933, 2016-03-24T14:11:33+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153334251585933/,1895, 419, 474
77590795932_10153331932645933, 2016-03-23T23:30:00+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153331932645933/,1875, 511, 1188
77590795932_10153332130155933, 2016-03-23T22:15:18+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153332130155933/?type=3,3046, 1083, 672
77590795932_10153331815175933, 2016-03-23T20:45:00+0000, shared_story, http://host.madison.com/wsj/opinion/column/kenbergthecaseforjohnkasichisstrongin/article71a9ab93950d5b809a983f870182f7f8.html,3811, 574, 747
77590795932_10153331622915933, 2016-03-23T18:38:52+0000, shared_story, https://www.johnkasich.com/blogposts/quinnipiacpollcruzwouldhandnominationtotrumpwhitehousetoclinton/,2396, 327, 741
77590795932_10153329434815933, 2016-03-23T02:51:42+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153329434815933/?type=3,1318, 160, 1321
77590795932_10153328506370933, 2016-03-22T20:51:32+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153328506370933/,2399, 349, 722
77590795932_10153328202170933, 2016-03-22T18:31:26+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153328202170933/,2262, 350, 525
77590795932_10153327917405933, 2016-03-22T16:16:04+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153327917405933/,1401, 188, 479
77590795932_10153327838480933, 2016-03-22T15:47:18+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153327838480933/,1527, 296, 313
77590795932_10153327467345933, 2016-03-22T13:24:52+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153327467345933/?type=3,1313, 187, 409
77590795932_10153327248605933, 2016-03-22T11:52:33+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153327248605933/?type=3,2522, 560, 314
